Country Code,Year,Metric,Value,YoY_Growth_%,Rolling_3Y_Avg,Share_of_G20_%,Rank_in_G20
BRA,2005,Current account balance (% of GDP),1.309884666,,1.309884666,3.576317276,8
BRA,2006,Current account balance (% of GDP),0.972710523,-25.74075042,1.141297594,2.749075441,9
BRA,2007,Current account balance (% of GDP),-0.197096961,-120.2626533,0.695166076,-0.738321537,10
BRA,2008,Current account balance (% of GDP),-2.099337848,965.1294857,-0.441241429,-11.11788487,12
BRA,2009,Current account balance (% of GDP),-1.759357874,-16.19462892,-1.351930894,-26.47602286,12
BRA,2010,Current account balance (% of GDP),-3.925946045,123.14653,-2.594880589,-139.2960284,17
BRA,2011,Current account balance (% of GDP),-3.194618319,-18.62806359,-2.959974079,-46.39221756,16
BRA,2012,Current account balance (% of GDP),-3.759416117,17.6796644,-3.62666016,-126.0156244,15
BRA,2013,Current account balance (% of GDP),-3.574220796,-4.92617244,-3.509418411,144.2725371,16
BRA,2014,Current account balance (% of GDP),-4.49883038,25.8688435,-3.944155764,119.2431638,17
BRA,2015,Current account balance (% of GDP),-3.518391668,-21.79319133,-3.863814281,23.84824524,15
BRA,2016,Current account balance (% of GDP),-1.700113397,-51.6792456,-3.239111815,23.61928155,9
BRA,2017,Current account balance (% of GDP),-1.224299258,-27.98720015,-2.147601441,27.14578155,9
BRA,2018,Current account balance (% of GDP),-2.807520086,129.3164901,-1.910644247,-117.2038731,15
BRA,2019,Current account balance (% of GDP),-3.469895814,23.59291147,-2.500571719,-28.87519445,19
BRA,2020,Current account balance (% of GDP),-1.687788053,-51.35911441,-2.655067985,-15.96114685,13
BRA,2021,Current account balance (% of GDP),-2.418765682,43.30979993,-2.525483183,-8.043107226,18
BRA,2022,Current account balance (% of GDP),-2.159756585,-10.708317,-2.088770107,-17.26262283,15
BRA,2023,Current account balance (% of GDP),-1.274810704,-40.97433421,-1.951110991,74.9351617,14
BRA,2024,Current account balance (% of GDP),-2.807833699,120.2549516,-2.080800329,-98.23329783,18
CAN,2005,Current account balance (% of GDP),1.869656187,,1.869656187,5.104635467,7
CAN,2006,Current account balance (% of GDP),1.363656246,-27.06379627,1.616656216,3.853966629,8
CAN,2007,Current account balance (% of GDP),0.752359497,-44.82777461,1.32855731,2.818324631,9
CAN,2008,Current account balance (% of GDP),0.204634001,-72.80103434,0.773549915,1.08372136,7
CAN,2009,Current account balance (% of GDP),-2.966282423,-1549.555012,-0.669762975,-44.63865051,17
CAN,2010,Current account balance (% of GDP),-3.596185671,21.23544419,-2.119278031,-127.5958395,16
CAN,2011,Current account balance (% of GDP),-2.774006026,-22.86254717,-3.11215804,-40.28408975,14
CAN,2012,Current account balance (% of GDP),-3.532247677,27.33381412,-3.300813125,-118.4009385,14
CAN,2013,Current account balance (% of GDP),-3.146875451,-10.91011337,-3.151043051,127.0228481,13
CAN,2014,Current account balance (% of GDP),-2.318921377,-26.31035408,-2.999348168,61.46386911,13
CAN,2015,Current account balance (% of GDP),-3.513987167,51.53541647,-2.993261332,23.81839079,14
CAN,2016,Current account balance (% of GDP),-3.093111447,-11.97715586,-2.975339997,42.97188074,16
CAN,2017,Current account balance (% of GDP),-2.803427477,-9.365455307,-3.13684203,62.15901006,15
CAN,2018,Current account balance (% of GDP),-2.385071611,-14.92301368,-2.760536845,-99.5681676,12
CAN,2019,Current account balance (% of GDP),-1.951702748,-18.17005664,-2.380067279,-16.24135115,14
CAN,2020,Current account balance (% of GDP),-2.010493527,3.012281376,-2.115755962,-19.01292189,15
CAN,2021,Current account balance (% of GDP),-0.021963228,-98.90757031,-1.328053168,-0.073034193,13
CAN,2022,Current account balance (% of GDP),-0.288416485,1213.178926,-0.773624413,-2.30527136,9
CAN,2023,Current account balance (% of GDP),-0.633319899,119.5851941,-0.314566537,37.22743217,11
CAN,2024,Current account balance (% of GDP),-0.461744367,-27.09144802,-0.46116025,-16.15432993,11
CHN,2005,Current account balance (% of GDP),5.71199843,,5.71199843,15.59520407,3
CHN,2006,Current account balance (% of GDP),8.305325735,45.40140087,7.008662083,23.4725198,3
CHN,2007,Current account balance (% of GDP),9.799589535,17.99163389,7.938971234,36.70907945,2
CHN,2008,Current account balance (% of GDP),9.010869963,-8.048496004,9.038595078,47.72067294,2
CHN,2009,Current account balance (% of GDP),4.687406381,-47.98053461,7.83262196,70.53930322,3
CHN,2010,Current account balance (% of GDP),3.840256734,-18.07288676,5.846177693,136.2556961,4
CHN,2011,Current account balance (% of GDP),1.773997246,-53.80524354,3.433886787,25.76197153,5
CHN,2012,Current account balance (% of GDP),2.483284224,39.9824171,2.699179401,83.23968466,5
CHN,2013,Current account balance (% of GDP),1.521113209,-38.74590777,1.92613156,-61.39935788,4
CHN,2014,Current account balance (% of GDP),2.211305864,45.37418062,2.071901099,-58.6114801,5
CHN,2015,Current account balance (% of GDP),2.597527949,17.46579214,2.109982341,-17.60647745,5
CHN,2016,Current account balance (% of GDP),1.670187096,-35.70089993,2.159673636,-23.20352238,6
CHN,2017,Current account balance (% of GDP),1.504887237,-9.897086344,1.924200761,-33.36711995,7
CHN,2018,Current account balance (% of GDP),0.170563392,-88.66603505,1.115212575,7.120408593,7
CHN,2019,Current account balance (% of GDP),0.706790487,314.3858065,0.794080372,5.881650011,8
CHN,2020,Current account balance (% of GDP),1.659300958,134.7656042,0.845551612,15.69174886,9
CHN,2021,Current account balance (% of GDP),1.938751762,16.84147789,1.434947736,6.446919774,9
CHN,2022,Current account balance (% of GDP),2.420592591,24.85314721,2.006215104,19.34744741,4
CHN,2023,Current account balance (% of GDP),1.441582988,-40.44503842,1.933642447,-84.73827053,6
CHN,2024,Current account balance (% of GDP),2.261649948,56.88655923,2.041275176,79.12481892,4
DEU,2005,Current account balance (% of GDP),4.643241458,,4.643241458,12.67722654,4
DEU,2006,Current account balance (% of GDP),5.836617269,25.70135157,5.239929363,16.49545349,4
DEU,2007,Current account balance (% of GDP),6.705740965,14.89088039,5.72853323,25.11958047,3
DEU,2008,Current account balance (% of GDP),5.576814582,-16.83522207,6.039724272,29.5342565,4
DEU,2009,Current account balance (% of GDP),5.87415967,5.331808739,6.052238406,88.39837991,2
DEU,2010,Current account balance (% of GDP),5.771011026,-1.755972763,5.740661759,204.7605613,2
DEU,2011,Current account balance (% of GDP),6.258866463,8.45355234,5.968012386,90.89120065,2
DEU,2012,Current account balance (% of GDP),7.192718167,14.92046058,6.407531885,241.0999056,2
DEU,2013,Current account balance (% of GDP),6.727231047,-6.471644089,6.726271892,-271.5430148,2
DEU,2014,Current account balance (% of GDP),7.192490052,6.916055096,7.037479755,-190.6396101,2
DEU,2015,Current account balance (% of GDP),8.100335396,12.6221286,7.340018832,-54.90542363,1
DEU,2016,Current account balance (% of GDP),8.899853532,9.870185574,8.064226327,-123.6436033,1
DEU,2017,Current account balance (% of GDP),8.083585738,-9.171699193,8.361258222,-179.2333461,1
DEU,2018,Current account balance (% of GDP),8.444743691,4.467793934,8.476060987,352.5376979,1
DEU,2019,Current account balance (% of GDP),7.880058745,-6.68682161,8.136129391,65.57494538,1
DEU,2020,Current account balance (% of GDP),6.349851028,-19.41873489,7.558217821,60.04954506,1
DEU,2021,Current account balance (% of GDP),6.931137378,9.154330516,7.053682384,23.04807015,1
DEU,2022,Current account balance (% of GDP),3.885066896,-43.94762816,5.722018434,31.05277926,3
DEU,2023,Current account balance (% of GDP),5.556685859,43.02677426,5.457630044,-326.6297907,1
DEU,2024,Current account balance (% of GDP),5.73091235,3.135438925,5.057555035,200.4984911,1
FRA,2005,Current account balance (% of GDP),-0.006509192,,-0.006509192,-0.017771744,11
FRA,2006,Current account balance (% of GDP),0.022189659,-440.8972928,0.007840233,0.062712435,11
FRA,2007,Current account balance (% of GDP),-0.32827995,-1579.427679,-0.104199828,-1.229730566,11
FRA,2008,Current account balance (% of GDP),-0.962244945,193.1171836,-0.422778412,-5.095953721,10
FRA,2009,Current account balance (% of GDP),-0.818480148,-14.94056145,-0.703001681,-12.31705012,10
FRA,2010,Current account balance (% of GDP),-0.832545469,1.718468174,-0.871090187,-29.53944754,10
FRA,2011,Current account balance (% of GDP),-1.028027979,23.48010023,-0.893017865,-14.92901277,10
FRA,2012,Current account balance (% of GDP),-1.225308078,19.19014883,-1.028627175,-41.07232554,9
FRA,2013,Current account balance (% of GDP),-0.597990457,-51.19672616,-0.950442172,24.13773666,8
FRA,2014,Current account balance (% of GDP),-0.962733699,60.99482663,-0.928677412,25.51761291,8
FRA,2015,Current account balance (% of GDP),-0.334528437,-65.25223567,-0.631750864,2.267489512,7
FRA,2016,Current account balance (% of GDP),-0.538632352,61.01242593,-0.611964829,7.483094478,8
FRA,2017,Current account balance (% of GDP),-0.474615185,-11.88513212,-0.449258658,10.52340762,8
FRA,2018,Current account balance (% of GDP),-0.735670615,55.00359832,-0.582972717,-30.71160412,8
FRA,2019,Current account balance (% of GDP),0.587362765,-179.8404547,-0.207641012,4.887816507,9
FRA,2020,Current account balance (% of GDP),-2.003136137,-441.0390065,-0.717147996,-18.94334421,14
FRA,2021,Current account balance (% of GDP),0.244238512,-112.1928064,-0.39051162,0.81216488,12
FRA,2022,Current account balance (% of GDP),-1.182590803,-584.1950576,-0.980496142,-9.452277693,12
FRA,2023,Current account balance (% of GDP),-0.993970971,-15.94971241,-0.644107754,58.42700817,13
FRA,2024,Current account balance (% of GDP),0.391586849,-139.3962057,-0.594991642,13.69983826,7
GBR,2005,Current account balance (% of GDP),-1.98153178,,-1.98153178,-5.410084204,15
GBR,2006,Current account balance (% of GDP),-3.122182458,57.56408697,-2.551857119,-8.823915147,15
GBR,2007,Current account balance (% of GDP),-3.733429241,19.57754845,-2.945714493,-13.98535624,15
GBR,2008,Current account balance (% of GDP),-3.88657976,4.102140661,-3.580730486,-20.58294064,15
GBR,2009,Current account balance (% of GDP),-3.039193189,-21.80288644,-3.553067397,-45.73586167,18
GBR,2010,Current account balance (% of GDP),-2.771841075,-8.796812068,-3.232538008,-98.34736615,12
GBR,2011,Current account balance (% of GDP),-1.630970089,-41.15932175,-2.480668118,-23.68493248,11
GBR,2012,Current account balance (% of GDP),-3.147189147,92.96424676,-2.51666677,-105.493777,13
GBR,2013,Current account balance (% of GDP),-4.651193731,47.78882089,-3.143117656,187.7442828,17
GBR,2014,Current account balance (% of GDP),-5.011417068,7.744750221,-4.269933315,132.8294636,19
GBR,2015,Current account balance (% of GDP),-4.946677011,-1.291851301,-4.869762603,33.52940139,18
GBR,2016,Current account balance (% of GDP),-5.498797343,11.16143889,-5.152297141,76.39351756,19
GBR,2017,Current account balance (% of GDP),-3.49784869,-36.38884156,-4.647774348,77.55606795,17
GBR,2018,Current account balance (% of GDP),-3.92206515,12.12792482,-4.306237061,-163.7321237,18
GBR,2019,Current account balance (% of GDP),-2.685148885,-31.53737171,-3.368354241,-22.34481965,17
GBR,2020,Current account balance (% of GDP),-2.958399491,10.17636705,-3.188537842,-27.9771199,17
GBR,2021,Current account balance (% of GDP),-0.440671239,-85.10440392,-2.028073205,-1.465361465,15
GBR,2022,Current account balance (% of GDP),-2.278774112,417.1143276,-1.892614947,-18.21391276,16
GBR,2023,Current account balance (% of GDP),-3.512132753,54.12377797,-2.077192701,206.4480907,18
GBR,2024,Current account balance (% of GDP),-2.651996659,-24.49042091,-2.814301175,-92.78127041,17
IDN,2005,Current account balance (% of GDP),0.097088246,,0.097088246,0.26507553,10
IDN,2006,Current account balance (% of GDP),2.97870868,2968.042524,1.537898463,8.418429415,6
IDN,2007,Current account balance (% of GDP),2.427264127,-18.51287294,1.834353684,9.092486105,6
IDN,2008,Current account balance (% of GDP),0.024693325,-98.98266839,1.810222044,0.1307734,9
IDN,2009,Current account balance (% of GDP),1.969770562,7876.935225,1.473909338,29.64245718,8
IDN,2010,Current account balance (% of GDP),0.681277287,-65.41336844,0.891913725,24.17231903,7
IDN,2011,Current account balance (% of GDP),0.188703954,-72.30144647,0.946583934,2.740357068,7
IDN,2012,Current account balance (% of GDP),-2.660273595,-1509.760388,-0.596764118,-89.17236819,12
IDN,2013,Current account balance (% of GDP),-3.189964829,19.91115633,-1.887178157,128.7621401,14
IDN,2014,Current account balance (% of GDP),-3.088169075,-3.191124641,-2.979469166,81.85306396,14
IDN,2015,Current account balance (% of GDP),-2.035041927,-34.10199125,-2.771058611,13.79385342,9
IDN,2016,Current account balance (% of GDP),-1.819150893,-10.60867749,-2.314120632,25.2730419,10
IDN,2017,Current account balance (% of GDP),-1.5946569,-12.34059217,-1.81628324,35.35753826,11
IDN,2018,Current account balance (% of GDP),-2.939072915,84.3075407,-2.117626902,-122.6957309,16
IDN,2019,Current account balance (% of GDP),-2.705661981,-7.941651675,-2.413130599,-22.51552208,18
IDN,2020,Current account balance (% of GDP),-0.418606248,-84.52850908,-2.021113715,-3.958693618,12
IDN,2021,Current account balance (% of GDP),0.295885915,-170.6835878,-0.942794105,0.983907683,11
IDN,2022,Current account balance (% of GDP),1.001828751,238.5861583,0.293036139,8.00747269,7
IDN,2023,Current account balance (% of GDP),-0.148899339,-114.8627536,0.382938442,8.75251202,8
IDN,2024,Current account balance (% of GDP),-0.606612185,307.3975019,0.082105742,-21.22259431,13
IND,2005,Current account balance (% of GDP),-1.253504002,,-1.253504002,-3.422383768,14
IND,2006,Current account balance (% of GDP),-0.988988303,-21.10210248,-1.121246153,-2.795079719,13
IND,2007,Current account balance (% of GDP),-0.663717649,-32.88923167,-0.968736651,-2.486273921,12
IND,2008,Current account balance (% of GDP),-2.583377493,289.2283861,-1.412027815,-13.68131079,13
IND,2009,Current account balance (% of GDP),-1.951462091,-24.46082322,-1.732852411,-29.36693876,14
IND,2010,Current account balance (% of GDP),-3.253483689,66.72031213,-2.596107758,-115.4364709,15
IND,2011,Current account balance (% of GDP),-3.429284686,5.403469431,-2.878076822,-49.80004036,18
IND,2012,Current account balance (% of GDP),-5.004889718,45.94558855,-3.895886031,-167.7638983,19
IND,2013,Current account balance (% of GDP),-2.645667117,-47.13835336,-3.693280507,106.7916978,12
IND,2014,Current account balance (% of GDP),-1.339508965,-49.36970883,-2.9966886,35.50418073,9
IND,2015,Current account balance (% of GDP),-1.067549072,-20.30295431,-1.684241718,7.236025567,8
IND,2016,Current account balance (% of GDP),-0.527880606,-50.55209919,-0.978312881,7.333722964,7
IND,2017,Current account balance (% of GDP),-1.439488203,172.692004,-1.011639294,31.91705954,10
IND,2018,Current account balance (% of GDP),-2.426975458,68.5998852,-1.464781422,-101.3175026,13
IND,2019,Current account balance (% of GDP),-1.049612039,-56.75225987,-1.6386919,-8.734484649,13
IND,2020,Current account balance (% of GDP),1.22362111,-216.578418,-0.750988796,11.57159289,10
IND,2021,Current account balance (% of GDP),-1.055241668,-186.23925,-0.293744199,-3.508988881,17
IND,2022,Current account balance (% of GDP),-2.362474815,123.879978,-0.731365124,-18.8829204,17
IND,2023,Current account balance (% of GDP),-0.878449449,-62.81655815,-1.432055311,51.63649105,12
IND,2024,Current account balance (% of GDP),-0.828801356,-5.65178716,-1.356575207,-28.99598023,15
ITA,2005,Current account balance (% of GDP),-0.896244192,,-0.896244192,-2.446973898,13
ITA,2006,Current account balance (% of GDP),-1.446038559,61.34425996,-1.171141375,-4.086795603,14
ITA,2007,Current account balance (% of GDP),-1.355662953,-6.249875262,-1.232648568,-5.078288111,14
ITA,2008,Current account balance (% of GDP),-2.686691734,98.18286908,-1.829464415,-14.22845275,14
ITA,2009,Current account balance (% of GDP),-1.774117641,-33.96646076,-1.938824109,-26.69813795,13
ITA,2010,Current account balance (% of GDP),-3.244122153,82.85834485,-2.568310509,-115.1043153,14
ITA,2011,Current account balance (% of GDP),-2.741638087,-15.48906121,-2.58662596,-39.81404284,13
ITA,2012,Current account balance (% of GDP),-0.215238993,-92.14925579,-2.066999745,-7.214810843,7
ITA,2013,Current account balance (% of GDP),1.038255998,-582.3735611,-0.639540361,-41.90894616,6
ITA,2014,Current account balance (% of GDP),1.709795525,64.6795712,0.844270843,-45.31876302,6
ITA,2015,Current account balance (% of GDP),1.233266525,-27.87052565,1.327106016,-8.359286089,6
ITA,2016,Current account balance (% of GDP),2.46140246,99.58398371,1.80148817,-34.19569414,4
ITA,2017,Current account balance (% of GDP),2.479683096,0.742691886,2.05811736,-54.98078613,4
ITA,2018,Current account balance (% of GDP),2.571446696,3.700618009,2.504177417,107.3486575,6
ITA,2019,Current account balance (% of GDP),3.233881964,25.76118998,2.761670585,26.91117415,6
ITA,2020,Current account balance (% of GDP),3.93695456,21.74082431,3.24742774,37.23116168,3
ITA,2021,Current account balance (% of GDP),2.124300415,-46.04203877,3.09837898,7.063923615,8
ITA,2022,Current account balance (% of GDP),-1.726427521,-181.2704036,1.444942485,-13.79908614,14
ITA,2023,Current account balance (% of GDP),0.141483236,-108.1951448,0.179785377,-8.316583091,7
ITA,2024,Current account balance (% of GDP),1.127796773,697.1239615,-0.152382504,39.45646652,5
JPN,2005,Current account balance (% of GDP),3.521140656,,3.521140656,9.613606824,5
JPN,2006,Current account balance (% of GDP),3.795861729,7.802047661,3.658501193,10.72786817,5
JPN,2007,Current account balance (% of GDP),4.623300483,21.79844297,3.980100956,17.3187973,5
JPN,2008,Current account balance (% of GDP),2.782942348,-39.80615453,3.734034853,14.73818645,5
JPN,2009,Current account balance (% of GDP),2.754095835,-1.036547271,3.386779555,41.44552134,6
JPN,2010,Current account balance (% of GDP),3.835478963,39.26454243,3.124172382,136.0861765,5
JPN,2011,Current account balance (% of GDP),2.079153288,-45.79156062,2.889576029,30.19344474,4
JPN,2012,Current account balance (% of GDP),0.958442611,-53.90226316,2.291024954,32.12699536,6
JPN,2013,Current account balance (% of GDP),0.889785416,-7.163412268,1.309127105,-35.9159679,7
JPN,2014,Current account balance (% of GDP),0.74232205,-16.57291337,0.863516692,-19.67552058,7
JPN,2015,Current account balance (% of GDP),3.070279659,313.6048041,1.567462375,-20.81086734,4
JPN,2016,Current account balance (% of GDP),3.938091284,28.26490487,2.583564331,-54.71098986,3
JPN,2017,Current account balance (% of GDP),4.120369663,4.628597095,3.709580202,-91.35891741,3
JPN,2018,Current account balance (% of GDP),3.516618175,-14.65284762,3.858359707,146.8061698,5
JPN,2019,Current account balance (% of GDP),3.450766114,-1.872596255,3.695917984,28.71600413,5
JPN,2020,Current account balance (% of GDP),2.968478582,-13.97624516,3.311954291,28.07243628,4
JPN,2021,Current account balance (% of GDP),3.899966044,31.37928859,3.439736913,12.96853403,5
JPN,2022,Current account balance (% of GDP),2.116379619,-45.73338343,2.994941415,16.915917,5
JPN,2023,Current account balance (% of GDP),3.71672795,75.61726244,3.244357871,-218.4744834,2
JPN,2024,Current account balance (% of GDP),4.824809263,29.81335538,3.552638944,168.7980757,2
KOR,2005,Current account balance (% of GDP),1.305870789,,1.305870789,3.565358376,9
KOR,2006,Current account balance (% of GDP),0.198895401,-84.7691362,0.752383095,0.56211838,10
KOR,2007,Current account balance (% of GDP),0.893090073,349.0249985,0.799285421,3.34549874,8
KOR,2008,Current account balance (% of GDP),0.167376559,-81.25871461,0.419787345,0.886409645,8
KOR,2009,Current account balance (% of GDP),3.505258198,1994.234827,1.521908277,52.7495273,5
KOR,2010,Current account balance (% of GDP),2.443925715,-30.27829685,2.038853491,86.71263994,6
KOR,2011,Current account balance (% of GDP),1.327562347,-45.67910396,2.425582087,19.27884807,6
KOR,2012,Current account balance (% of GDP),3.817591818,187.5640324,2.529693293,127.9656739,3
KOR,2013,Current account balance (% of GDP),5.636731533,47.6514987,3.5939619,-227.5252721,3
KOR,2014,Current account balance (% of GDP),5.593145284,-0.773253952,5.015822879,-148.2483852,3
KOR,2015,Current account balance (% of GDP),7.170246124,28.19702975,6.133374314,-48.6011235,2
KOR,2016,Current account balance (% of GDP),6.529640423,-8.934221919,6.43101061,-90.71478166,2
KOR,2017,Current account balance (% of GDP),4.63508697,-29.01466742,6.111657839,-102.7714895,2
KOR,2018,Current account balance (% of GDP),4.489839455,-3.133652437,5.218188949,187.4346604,4
KOR,2019,Current account balance (% of GDP),3.61361701,-19.51567429,4.246181145,30.07118929,4
KOR,2020,Current account balance (% of GDP),4.616043768,27.74026009,4.239833411,43.65320179,2
KOR,2021,Current account balance (% of GDP),4.686905806,1.535124926,4.305522195,15.58534017,3
KOR,2022,Current account balance (% of GDP),1.543004076,-67.07840653,3.615317883,12.33300899,6
KOR,2023,Current account balance (% of GDP),1.91626792,24.19072316,2.715392601,-112.6409168,5
KOR,2024,Current account balance (% of GDP),0,-100,1.153090665,0,8
MEX,2005,Current account balance (% of GDP),-0.623534402,,-0.623534402,-1.702407022,12
MEX,2006,Current account balance (% of GDP),-0.316555541,-49.23206477,-0.470044971,-0.894649583,12
MEX,2007,Current account balance (% of GDP),-0.844640815,166.8223126,-0.594910253,-3.164008726,13
MEX,2008,Current account balance (% of GDP),-1.406808609,66.55702445,-0.856001655,-7.450318761,11
MEX,2009,Current account balance (% of GDP),-0.750928571,-46.62183853,-1.000792665,-11.3004877,9
MEX,2010,Current account balance (% of GDP),-0.339592499,-54.77699054,-0.832443226,-12.04904138,8
MEX,2011,Current account balance (% of GDP),-0.857892612,152.624135,-0.649471227,-12.45830855,8
MEX,2012,Current account balance (% of GDP),-1.409848648,64.33859292,-0.869111253,-47.25812524,10
MEX,2013,Current account balance (% of GDP),-2.393969602,69.80330517,-1.553903621,96.63198996,11
MEX,2014,Current account balance (% of GDP),-1.821319276,-23.92053453,-1.875045842,48.27474131,11
MEX,2015,Current account balance (% of GDP),-2.599176282,42.70843754,-2.271488387,17.61765012,12
MEX,2016,Current account balance (% of GDP),-2.273111983,-12.544909,-2.231202514,31.57981816,12
MEX,2017,Current account balance (% of GDP),-1.797462908,-20.92501727,-2.223250391,39.85425551,12
MEX,2018,Current account balance (% of GDP),-2.064140745,14.83634716,-2.044905212,-86.17045739,10
MEX,2019,Current account balance (% of GDP),-0.296844402,-85.61898442,-1.386149352,-2.470229738,11
MEX,2020,Current account balance (% of GDP),2.396907678,-907.4626509,0.011974177,22.6671799,5
MEX,2021,Current account balance (% of GDP),-0.346548814,-114.4581628,0.584504821,-1.152376723,14
MEX,2022,Current account balance (% of GDP),-1.207037414,248.302278,0.28110715,-9.647675928,13
MEX,2023,Current account balance (% of GDP),-0.312780998,-74.08688461,-0.622122409,18.38570587,10
MEX,2024,Current account balance (% of GDP),-0.323080549,3.292895464,-0.614299654,-11.30311522,9
RUS,2005,Current account balance (% of GDP),11.04541697,,11.04541697,30.15678905,2
RUS,2006,Current account balance (% of GDP),9.325444914,-15.57181646,10.18543094,26.35558163,2
RUS,2007,Current account balance (% of GDP),5.554576193,-40.43634117,8.641812693,20.80733872,4
RUS,2008,Current account balance (% of GDP),6.257971612,12.66334989,7.045997573,33.14159651,3
RUS,2009,Current account balance (% of GDP),4.120869337,-34.1500794,5.311139047,62.01366556,4
RUS,2010,Current account balance (% of GDP),4.423336654,7.339890964,4.934059201,156.9438859,3
RUS,2011,Current account balance (% of GDP),4.754526525,7.487331349,4.432910839,69.04519004,3
RUS,2012,Current account balance (% of GDP),3.227930901,-32.10825761,4.135264693,108.2002405,4
RUS,2013,Current account balance (% of GDP),1.458173885,-54.82635999,3.146877104,-58.85882765,5
RUS,2014,Current account balance (% of GDP),2.792909792,91.53475596,2.493004859,-74.02710741,4
RUS,2015,Current account balance (% of GDP),4.970888574,77.98242494,3.07399075,-33.69351139,3
RUS,2016,Current account balance (% of GDP),1.91643731,-61.44678599,3.226745225,-26.62461956,5
RUS,2017,Current account balance (% of GDP),2.044126736,6.662854311,2.977150873,-45.3234105,5
RUS,2018,Current account balance (% of GDP),6.979898729,241.4611534,3.646820925,291.3856856,3
RUS,2019,Current account balance (% of GDP),3.87612477,-44.4673208,4.300050078,32.25568214,3
RUS,2020,Current account balance (% of GDP),2.369115337,-38.87928079,4.408379612,22.40435209,6
RUS,2021,Current account balance (% of GDP),6.83107026,188.3384424,4.358770122,22.71531756,2
